,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29
23,0,0,0,0,0,2,3,3,3,0,6,4,3,4,5,3,4,0,0,0,0,3,3,4,0,0,0,0,0
24,0,0,0,0,0,1,3,4,3,0,4,4,3,4,4,4,5,0,0,0,0,4,4,3,0,0,0,0,0
25,0,0,0,0,0,2,2,4,3,0,4,4,4,4,4,4,4,0,0,0,0,3,4,4,0,0,0,0,0
26,0,0,0,0,0,2,3,3,3,0,3,4,4,4,4,5,4,0,0,0,0,4,4,3,0,0,0,0,0
27,0,0,0,0,0,2,2,3,4,0,4,4,4,3,5,4,4,0,0,1,1,3,4,2,0,0,0,0,0
28,0,0,0,0,0,3,3,3,3,0,3,3,3,3,3,3,3,0,0,6,5,2,3,1,0,0,0,0,0
29,0,0,0,0,0,1,3,3,3,0,3,4,4,4,4,4,3,0,0,3,4,3,4,0,0,0,0,0,0
30,0,0,0,0,0,1,3,5,3,0,3,4,4,3,4,4,1,0,0,4,5,3,3,0,0,0,0,0,0
31,0,0,0,0,0,2,1,3,3,0,3,4,4,3,4,4,4,0,0,4,4,4,3,0,0,0,0,0,0
32,0,0,0,0,0,1,3,3,3,0,3,3,3,4,4,4,4,0,0,4,3,4,4,0,0,0,0,0,0
33,0,0,0,0,0,0,3,3,3,0,3,3,3,4,4,4,4,0,0,4,4,4,4,0,0,0,0,0,0
34,0,0,0,0,0,0,3,4,2,0,3,4,4,4,3,4,3,0,0,4,5,4,3,0,0,0,0,0,0
35,0,0,0,0,0,0,3,3,3,0,3,3,4,4,4,4,4,0,0,4,4,4,3,0,0,0,0,0,0
36,0,0,0,0,0,0,1,3,2,0,4,4,3,4,4,5,3,0,0,4,5,4,4,0,0,0,0,0,0
37,0,0,0,0,0,0,2,3,1,0,4,4,4,4,4,4,3,0,0,4,4,5,4,0,0,0,0,0,0
38,0,0,0,0,0,0,2,4,4,0,3,2,4,3,4,3,4,0,0,3,4,6,4,0,0,0,0,0,0
39,0,0,0,0,0,0,3,3,3,0,3,3,4,3,4,4,4,0,0,4,3,5,4,0,0,0,0,0,0
40,0,0,0,0,0,0,2,1,3,0,3,3,4,4,4,4,4,0,1,4,4,5,4,0,0,0,0,0,0
41,0,0,0,0,0,0,2,3,3,0,2,3,4,3,4,3,4,1,4,3,4,3,4,0,0,0,0,0,0
42,0,0,0,0,0,0,2,4,3,0,3,3,3,4,3,3,3,3,3,3,4,3,3,0,0,0,0,0,0
43,0,0,0,0,0,0,4,2,3,0,3,3,3,3,3,3,3,4,3,4,3,3,3,0,0,0,0,0,0
44,0,0,0,0,0,0,1,0,3,0,3,3,3,4,3,3,5,4,4,3,3,4,4,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,2,0,3,3,3,4,4,3,4,4,4,4,4,3,4,0,1,0,0,0,0
46,0,0,0,0,0,0,0,0,3,0,2,3,3,4,4,3,3,3,4,3,4,4,3,0,4,0,0,0,0
47,0,0,0,0,0,0,0,0,3,0,3,3,4,3,4,3,3,4,2,3,4,4,2,0,4,1,0,0,0
48,0,0,0,0,0,0,0,0,5,0,3,3,4,3,2,3,3,3,3,3,3,1,3,0,5,3,0,0,0
49,0,0,0,0,0,0,0,0,2,0,2,3,4,3,3,3,5,3,3,2,3,2,3,0,5,4,0,0,0
50,0,0,0,0,0,0,0,0,1,0,3,2,4,4,4,1,4,3,2,3,2,2,4,0,6,4,1,0,0
51,0,0,0,0,0,0,0,0,3,0,2,2,4,3,3,3,3,2,3,2,3,3,3,0,4,3,4,0,0
52,0,0,0,0,0,0,0,0,2,0,3,2,4,3,3,3,4,3,2,2,3,3,3,0,4,3,3,0,0
53,0,0,0,0,0,0,0,0,0,0,3,1,4,3,3,3,4,3,3,3,4,3,2,0,4,3,4,0,0
54,0,0,0,0,0,0,0,0,0,0,3,2,3,3,3,3,7,3,4,3,3,2,2,0,3,3,3,0,0
55,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,5,3,5,3,3,2,3,0,3,3,2,0,0
56,0,0,0,0,0,0,0,0,0,0,6,3,3,3,3,3,3,3,4,6,2,1,3,0,3,3,1,0,0
57,0,0,0,0,0,0,0,0,0,0,3,1,3,3,3,4,4,4,4,6,1,3,4,0,3,3,1,0,0
58,0,0,0,0,0,0,0,0,0,0,3,2,3,3,6,3,3,3,3,5,4,1,3,0,3,2,3,0,0
59,0,0,0,0,0,0,0,0,0,0,2,7,3,3,4,4,3,3,3,3,2,3,3,1,2,3,1,0,0
60,0,0,0,0,0,0,0,0,0,0,4,2,3,3,3,4,3,3,3,3,3,2,3,3,2,3,3,0,0
61,0,0,0,0,0,0,0,0,0,0,3,3,2,3,3,3,3,3,3,4,3,3,2,3,3,3,3,0,0
62,0,0,0,0,0,0,0,0,0,0,2,1,2,6,3,3,3,3,3,4,3,2,3,3,3,3,3,0,0
63,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,3,3,3,4,4,3,2,6,4,3,4,3,0,0
64,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,3,3,4,4,3,6,4,4,4,4,3,0,0
65,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3,3,3,4,4,3,4,5,4,4,4,3,0,0
66,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,2,3,3,3,3,3,4,4,4,4,4,4,0,0
67,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,1,3,3,3,3,3,4,3,3,9,3,3,0,0
68,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,2,4,4,3,3,5,4,3,5,5,4,0,0
69,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,4,4,3,4,3,4,3,5,4,5,4,0,0
70,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,4,4,3,2,4,4,3,7,4,4,4,0,0
71,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,3,3,3,3,5,4,3,6,3,4,3,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4,4,4,4,4,4,5,4,4,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,4,5,5,4,3,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,3,3,4,4,4,6,5,4,4,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,4,4,4,4,4,4,4,4,4,1,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,4,4,4,4,4,4,4,5,1
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,6,3,4,3,3,5,4
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,4,4,4,3,4,3,4,4,5,4
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,3,3,3,3,3,4,4,3,3,5,4
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2,1,2,3,3,3,3,3,3,3,3,6,3
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,3,2,3,3,4,4,4,3,7,4
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,2,3,3,4,4,4,4,4,4,4
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,0,3,2,4,2,4,6,4,4,4,4
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,0,3,4,3,3,4,7,4,4,4,4
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1,0,3,3,2,3,4,6,5,4,4,4
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,0,4,3,4,2,4,4,6,4,4,4
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,2,0,4,3,4,4,4,4,3,4,4,4
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,3,4,4,4,4,4,4,6,4,3
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,0,3,4,4,4,4,4,4,5,4,3
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,0,3,4,4,4,4,3,4,5,4,4
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,3,3,4,4,4,4,4,4,4,6
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,0,2,4,4,4,4,2,4,4,4,7
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,2,0,2,3,3,4,4,4,4,4,4,6
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3,0,2,2,2,4,3,4,5,4,4,5
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,2,4,4,4,4,7,4,5,4
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,0,0,4,4,4,4,4,4,4,4,4
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,2,0,0,4,6,4,4,4,4,4,4,4
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,5,7,2,4,4,5,4,5,5
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,0,4,9,4,4,4,4,4,4,4
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,4,0,0,4,6,3,4,4,4,4,4,4
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,7,6,4,4,4,4,4,5,4
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,4,5,5,5,5,5,6,4,6
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,5,6,4,5,5,5,5,5
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,4,6,5,5,5,5,5,5
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,5,6,5,3,6,6,5,4
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,5,5,5,4,5,5,4,3
107,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,5,5,4,4,5,5,5,5,4
108,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,5,5,5,4,0,5,5,5,2
109,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,5,5,4,5,0,5,5,5,2
110,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,5,5,5,5,0,5,5,4,1
111,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,4,5,5,5,0,5,5,5,2
112,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,5,5,5,4,0,5,5,5,2
113,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,4,5,5,5,0,5,3,5,5
114,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,5,5,5,5,0,2,5,4,5
115,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1,0,6,6,5,5,0,5,5,3,4
116,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,1,6,0,5,5,5,4,0,3,5,2,2
117,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,6,0,5,4,5,4,0,3,5,4,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,8,7,0,4,5,5,4,0,1,3,4,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,4,7,0,4,5,5,4,0,5,5,2,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,6,1,4,5,5,5,0,5,5,2,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,4,4,4,4,3,4,4,0,4,4,4,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,4,4,4,4,4,3,4,0,4,4,4,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,4,4,4,4,3,4,4,0,4,4,4,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,4,4,4,4,4,4,0,4,4,4,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,4,3,4,5,4,4,4,0,4,4,4,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,4,5,4,5,5,3,0,4,5,5,0
127,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,0,0,4,5,4,4,4,4,4,0,4,4,2,0
128,0,0,0,0,0,0,0,0,0,0,6,0,0,1,4,0,0,4,4,4,4,4,4,3,0,4,4,4,0
129,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,4,4,4,4,4,4,4,0,4,4,5,1
130,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,4,3,3,4,4,4,4,0,2,2,7,5
131,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,3,4,4,3,4,3,4,0,4,5,4,5
132,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,4,4,4,4,4,4,4,0,4,5,4,4
133,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,4,3,4,4,4,4,4,0,4,6,4,4
134,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,4,3,3,3,4,4,4,0,5,5,4,4
135,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,2,2,4,3,4,4,4,0,7,4,4,4
136,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,2,3,4,4,4,4,4,0,5,4,4,4
137,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,2,4,4,3,4,4,0,5,7,4,4
138,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,2,4,4,4,4,3,0,8,6,4,4
139,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,4,4,4,5,3,0,6,5,5,5
140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,4,5,4,4,5,1,6,5,5,5
141,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,4,4,4,4,4,4,5,4,4,4
142,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,4,4,2,4,4,4,6,4,4,4
143,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,4,4,3,4,4,5,5,4,4,4
144,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,4,4,4,4,5,5,5,4,4
145,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,3,4,4,4,4,4,4,4,4,4
146,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,5,4,3,3,4,4,4,4,4,4
147,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,4,5,4,2,4,4,4,4,4,4
148,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,2,4,2,5,5,5,5,5,5
149,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,4,6,4,3,4,4,3,4,4,3
150,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,6,5,4,4,4,5,4,4,3
151,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,4,4,4,5,4,4,4,4,4,2
152,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,4,4,4,4,5,4,4,4,4,3
153,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,4,3,4,5,4,3,4,4,4,4
154,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,3,4,4,6,5,3,5,5,4,5
155,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,2,4,6,5,4,4,4,4,4,4
156,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,3,4,5,4,4,5,4,5,5,5
157,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,4,3,4,4,5,4,4,4,4,4
158,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,4,4,4,4,4,4,4,4,4,4
159,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,3,4,4,4,5,4,4,4,4,4
160,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,4,4,4,4,5,4,4,4,4,4
161,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4,4,4,5,5,4,4,4,3,4
162,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,4,4,4,4,5,4,4,3,3,4
163,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,2,4,9,7,4,4,4,4,4
164,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,2,4,7,5,4,5,5,4,4
165,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,2,4,6,6,5,5,5,5,4
166,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,4,3,5,7,5,5,5,4,4
167,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,4,4,4,6,4,4,4,4,4,2
168,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,4,3,4,5,4,4,4,4,3,4
169,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,4,4,2,5,4,4,4,4,4,4
170,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,4,3,4,4,5,3,4,4,4,4
171,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,3,4,4,4,4,4,4,4,4,4
172,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2,4,4,5,6,4,4,5,4,4
173,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,4,4,4,4,5,4,4,4,4,3
174,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,3,4,5,4,5,4,4,5
175,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,4,4,4,6,5,4,4,3,5
176,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,4,4,4,4,6,4,4,4,3,4
177,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,3,2,5,5,5,5,4,5,5
178,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,5,3,2,6,7,4,4,3,5,4
179,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,4,5,5,5,5,5,5,5
180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,5,6,5,5,5,5,5,3
181,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,4,6,5,5,5,5,5,3
182,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,4,0,5,7,6,5,5,5,5,3
183,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,5,0,2,7,4,5,5,5,5,5
184,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,5,6,5,3,5,5,5,4
185,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,4,5,5,5,5,5,5,4
186,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,4,0,5,5,5,6,5,5,5,4
187,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,4,5,6,5,5,5,5,4
188,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,4,5,5,5,5,5,5,5
189,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,5,5,7,5,5,5,5,5
190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,4,4,6,6,5,5,5,3
191,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,0,5,5,5,5,5,5,5,2
192,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,0,5,5,5,6,5,4,5,4
193,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,4,5,4,5,5,5,5,5
194,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,4,5,6,6,5,5,5,3
195,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,0,4,5,3,6,5,5,5,4
196,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,4,5,6,6,5,4,4,4
197,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,5,5,5,6,4,5,4,4
198,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,5,0,5,4,5,6,5,5,3,3
199,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,0,5,4,6,6,4,5,5,2
200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,5,5,6,5,4,5,4,5
201,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,2,5,6,5,5,5,5,5
202,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,2,0,5,5,6,6,4,5,5,5
203,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,3,0,5,5,6,5,3,5,5,4
204,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,3,5,7,6,5,5,4,5
205,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,4,5,5,4,5,5,5,5
206,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,4,0,3,5,5,6,5,5,5,4
207,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,4,0,3,5,5,5,5,5,5,4
208,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,4,5,5,5,5,4,5,5
209,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,5,0,5,5,5,5,5,3,3,4
210,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,0,7,5,5,4,5,4,4,3
211,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,7,5,4,5,4,5,5,4
212,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,8,5,5,5,3,5,3,4
213,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,2,5,4,5,5,5,5,5,4
214,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,4,6,3,5,5,4,4,5,4
215,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,4,4,5,4,4,4,3,4,4,4
216,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,4,4,5,5,4,3,4,4,4,4
217,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,4,4,4,5,4,4,4,2,4,4
218,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,4,4,4,6,3,4,4,4,4,4
219,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,4,8,7,5,3,4,3,4,4
220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,7,4,6,5,5,3,4,4,3,4
221,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,4,4,5,4,4,4,4,4,4,4
222,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,4,4,5,4,4,4,4,4,4,4
223,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,4,5,6,4,5,5,5,3,3
224,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,4,4,5,5,5,5,5,5,2
225,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,7,4,4,6,4,4,4,4,4,4
226,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,4,5,7,5,5,3,4,4,5
227,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,4,4,10,5,5,2,4,4,4
